distribution,condition,quantile,value,unit,n_observations
speed,RUN,0.11,184.88708517249012,micron/s,1284300
speed,RUN,0.111,185.0962611559047,micron/s,1284300
speed,RUN,0.112,185.29309552482255,micron/s,1284300
speed,RUN,0.113,185.4836570520597,micron/s,1284300
speed,RUN,0.114,185.67446883890952,micron/s,1284300
speed,RUN,0.115,185.88148585754539,micron/s,1284300
speed,RUN,0.116,186.07874584072738,micron/s,1284300
speed,RUN,0.117,186.2747819833378,micron/s,1284300
speed,RUN,0.11800000000000001,186.47388104713502,micron/s,1284300
speed,RUN,0.11900000000000001,186.67302284270758,micron/s,1284300
speed,RUN,0.12,186.85554130895463,micron/s,1284300
speed,RUN,0.121,187.0550674843752,micron/s,1284300
speed,RUN,0.122,187.23920533530605,micron/s,1284300
speed,RUN,0.123,187.4207520777814,micron/s,1284300
speed,RUN,0.124,187.61225286579818,micron/s,1284300
speed,RUN,0.125,187.79292235645121,micron/s,1284300
speed,RUN,0.126,187.98172995913657,micron/s,1284300
speed,RUN,0.127,188.15812903814896,micron/s,1284300
speed,RUN,0.128,188.34543849831556,micron/s,1284300
speed,RUN,0.129,188.53413395888413,micron/s,1284300
speed,RUN,0.13,188.70578383635464,micron/s,1284300
speed,RUN,0.131,188.89124550475415,micron/s,1284300
speed,RUN,0.132,189.07592430838406,micron/s,1284300
speed,RUN,0.133,189.2539120565037,micron/s,1284300
speed,RUN,0.134,189.43319511889234,micron/s,1284300
speed,RUN,0.135,189.61160927407786,micron/s,1284300
speed,RUN,0.136,189.79360818783442,micron/s,1284300
speed,RUN,0.137,189.97067903468692,micron/s,1284300
speed,RUN,0.138,190.1471839016132,micron/s,1284300
speed,RUN,0.139,190.32509291997215,micron/s,1284300
speed,RUN,0.14,190.49604813113635,micron/s,1284300
speed,RUN,0.14100000000000001,190.6738437528344,micron/s,1284300
speed,RUN,0.14200000000000002,190.85370720160532,micron/s,1284300
speed,RUN,0.14300000000000002,191.01785716388807,micron/s,1284300
speed,RUN,0.14400000000000002,191.18499502780304,micron/s,1284300
speed,RUN,0.145,191.35853567171048,micron/s,1284300
speed,RUN,0.146,191.5234598738757,micron/s,1284300
speed,RUN,0.147,191.68927412821134,micron/s,1284300
speed,RUN,0.148,191.85817155437826,micron/s,1284300
speed,RUN,0.149,192.0227595243485,micron/s,1284300
speed,RUN,0.15,192.18307807691534,micron/s,1284300
speed,RUN,0.151,192.34650478990824,micron/s,1284300
speed,RUN,0.152,192.5089193143556,micron/s,1284300
speed,RUN,0.153,192.67552967214712,micron/s,1284300
speed,RUN,0.154,192.83694802147463,micron/s,1284300
speed,RUN,0.155,193.00162729638313,micron/s,1284300
speed,RUN,0.156,193.16599715790142,micron/s,1284300
speed,RUN,0.157,193.32866474791373,micron/s,1284300
speed,RUN,0.158,193.49147934939137,micron/s,1284300
speed,RUN,0.159,193.66117992144632,micron/s,1284300
speed,RUN,0.16,193.8191179779729,micron/s,1284300
speed,RUN,0.161,193.98006659543148,micron/s,1284300
speed,RUN,0.162,194.14523254728937,micron/s,1284300
speed,RUN,0.163,194.30627862242213,micron/s,1284300
speed,RUN,0.164,194.47103841212322,micron/s,1284300
speed,RUN,0.165,194.63188402658366,micron/s,1284300
speed,RUN,0.166,194.79564162804726,micron/s,1284300
speed,RUN,0.167,194.96073747007134,micron/s,1284300
speed,RUN,0.168,195.1131560881275,micron/s,1284300
speed,RUN,0.169,195.25766037861652,micron/s,1284300
speed,RUN,0.17,195.40949157174802,micron/s,1284300
speed,RUN,0.171,195.56675075534585,micron/s,1284300
speed,RUN,0.17200000000000001,195.7260828475541,micron/s,1284300
speed,RUN,0.17300000000000001,195.87535484291408,micron/s,1284300
speed,RUN,0.17400000000000002,196.02502072142764,micron/s,1284300
speed,RUN,0.17500000000000002,196.17920448917536,micron/s,1284300
speed,RUN,0.176,196.33432141690653,micron/s,1284300
speed,RUN,0.177,196.48417983581948,micron/s,1284300
speed,RUN,0.178,196.62366221524925,micron/s,1284300
speed,RUN,0.179,196.75353884611346,micron/s,1284300
speed,RUN,0.18,196.8771106205802,micron/s,1284300
speed,RUN,0.181,197.00039616004312,micron/s,1284300
speed,RUN,0.182,197.1248167774171,micron/s,1284300
speed,RUN,0.183,197.25652968055928,micron/s,1284300
speed,RUN,0.184,197.3787161186586,micron/s,1284300
speed,RUN,0.185,197.50591317794314,micron/s,1284300
speed,RUN,0.186,197.62820524139408,micron/s,1284300
speed,RUN,0.187,197.75599471486177,micron/s,1284300
speed,RUN,0.188,197.87808439220456,micron/s,1284300
speed,RUN,0.189,198.0011897250858,micron/s,1284300
speed,RUN,0.19,198.12588152867448,micron/s,1284300
speed,RUN,0.191,198.25057405667036,micron/s,1284300
speed,RUN,0.192,198.3748366071637,micron/s,1284300
speed,RUN,0.193,198.49423617223718,micron/s,1284300
speed,RUN,0.194,198.61617673477502,micron/s,1284300
speed,RUN,0.195,198.737096937187,micron/s,1284300
speed,RUN,0.196,198.85659608027748,micron/s,1284300
speed,RUN,0.197,198.9800236748319,micron/s,1284300
speed,RUN,0.198,199.10345834484244,micron/s,1284300
speed,RUN,0.199,199.2191594359684,micron/s,1284300
speed,RUN,0.2,199.33440845007476,micron/s,1284300
speed,RUN,0.201,199.45389281466237,micron/s,1284300
speed,RUN,0.202,199.56914275282708,micron/s,1284300
speed,RUN,0.203,199.68864351553623,micron/s,1284300
speed,RUN,0.20400000000000001,199.80938019188562,micron/s,1284300
speed,RUN,0.20500000000000002,199.93297795102785,micron/s,1284300
speed,RUN,0.20600000000000002,200.04916725970216,micron/s,1284300
speed,RUN,0.20700000000000002,200.1744346565468,micron/s,1284300
speed,RUN,0.20800000000000002,200.29336226677617,micron/s,1284300
speed,RUN,0.209,200.4138811626457,micron/s,1284300
speed,RUN,0.21,200.5275058485245,micron/s,1284300
speed,RUN,0.211,200.64382221420053,micron/s,1284300
speed,RUN,0.212,200.7591772626646,micron/s,1284300
speed,RUN,0.213,200.87434313685887,micron/s,1284300
speed,RUN,0.214,200.9932235528907,micron/s,1284300
speed,RUN,0.215,201.11414782411865,micron/s,1284300
speed,RUN,0.216,201.23409004295524,micron/s,1284300
speed,RUN,0.217,201.34604369963338,micron/s,1284300
speed,RUN,0.218,201.4680802771857,micron/s,1284300
speed,RUN,0.219,201.58569740555566,micron/s,1284300
speed,RUN,0.22,201.69854633638056,micron/s,1284300
speed,RUN,0.221,201.80844493308018,micron/s,1284300
speed,RUN,0.222,201.92285698201982,micron/s,1284300
speed,RUN,0.223,202.03517884833244,micron/s,1284300
speed,RUN,0.224,202.15039296665307,micron/s,1284300
speed,RUN,0.225,202.26277574967907,micron/s,1284300
speed,RUN,0.226,202.37967122719837,micron/s,1284300
speed,RUN,0.227,202.49407792484882,micron/s,1284300
speed,RUN,0.228,202.60690346768106,micron/s,1284300
speed,RUN,0.229,202.71796838469157,micron/s,1284300
speed,RUN,0.23,202.834077719276,micron/s,1284300
speed,RUN,0.231,202.94780309790403,micron/s,1284300
speed,RUN,0.232,203.06118363029347,micron/s,1284300
speed,RUN,0.233,203.1829863892375,micron/s,1284300
speed,RUN,0.234,203.29775218533823,micron/s,1284300
speed,RUN,0.23500000000000001,203.41713923623223,micron/s,1284300
speed,RUN,0.23600000000000002,203.53230069306997,micron/s,1284300
speed,RUN,0.23700000000000002,203.64735180486196,micron/s,1284300
speed,RUN,0.23800000000000002,203.75614786209292,micron/s,1284300
speed,RUN,0.23900000000000002,203.8740672159556,micron/s,1284300
speed,RUN,0.24,203.9902987739455,micron/s,1284300
speed,RUN,0.241,204.1030899903379,micron/s,1284300
speed,RUN,0.242,204.21687910341277,micron/s,1284300
speed,RUN,0.243,204.32350728470527,micron/s,1284300
speed,RUN,0.244,204.43547829979462,micron/s,1284300
speed,RUN,0.245,204.54639108932977,micron/s,1284300
speed,RUN,0.246,204.65505269220031,micron/s,1284300
speed,RUN,0.247,204.76910434017705,micron/s,1284300
speed,RUN,0.248,204.87889389931004,micron/s,1284300
speed,RUN,0.249,204.99103510934563,micron/s,1284300
speed,RUN,0.25,205.10084503159197,micron/s,1284300
speed,RUN,0.251,205.2151826295452,micron/s,1284300
speed,RUN,0.252,205.32779574159807,micron/s,1284300
speed,RUN,0.253,205.43592171619966,micron/s,1284300
speed,RUN,0.254,205.5444867002846,micron/s,1284300
speed,RUN,0.255,205.658132522015,micron/s,1284300
speed,RUN,0.256,205.76618135532297,micron/s,1284300
speed,RUN,0.257,205.87807163885736,micron/s,1284300
