state	probability	speed_micron_per_s	abs_turn_angle_deg	positive_turn_probability	n_observations
0	0.001	60.167847524529904	0.07054213560782259	0.5	2054
0	0.0019979999999999998	65.66832062021807	0.14867515945953155	0.5	2054
0	0.002996	67.31942488420836	0.3131747468413078	0.5	2054
0	0.003994	68.55404330969426	0.4587706018161261	0.5	2054
0	0.004992	69.8115469323571	0.4908183541712018	0.5	2054
0	0.00599	70.64924035568829	0.5301786390672082	0.5	2054
0	0.006988	74.57276796269504	0.5695910435163574	0.5	2054
0	0.007986	75.3427458939481	0.5918260964897787	0.5	2054
0	0.008983999999999999	75.97368818818732	0.6117539295296051	0.5	2054
0	0.009982000000000001	76.32534438692548	0.6390377612072092	0.5	2054
0	0.01098	76.64321716202163	0.6642308988747627	0.5	2054
0	0.011977999999999999	76.88744843297265	0.6844874277888559	0.5	2054
0	0.012976000000000001	77.5993890707272	0.8150489574711427	0.5	2054
0	0.013974	77.72004639661841	0.8858606764483	0.5	2054
0	0.014972	79.58739811937802	0.9391679214189353	0.5	2054
0	0.015969999999999998	80.23349207973149	1.0019883492324477	0.5	2054
0	0.016968	80.58120027300838	1.068792931013061	0.5	2054
0	0.017966	80.93584976747113	1.1042229621368302	0.5	2054
0	0.018964	81.40599123756233	1.1956760246022957	0.5	2054
0	0.019962	82.50951157586493	1.4453092191787118	0.5	2054
0	0.02096	82.8321398952938	1.5802698403659812	0.5	2054
0	0.021958000000000002	83.22694183414445	1.604767627334355	0.5	2054
0	0.022956	84.02893837883356	1.6160667731740745	0.5	2054
0	0.023954	84.47480302812795	1.6275670669051765	0.5	2054
0	0.024952000000000002	85.83120143117009	1.757036168512414	0.5	2054
0	0.02595	85.9681386880733	1.7921763186129307	0.5	2054
0	0.026948	86.24980457030284	1.8207994650870785	0.5	2054
0	0.027946	86.93334362597967	1.8678072507397725	0.5	2054
0	0.028944	87.1785279644078	1.892677824645854	0.5	2054
0	0.029942	87.35068125994486	1.9462244848292183	0.5	2054
0	0.03094	87.91634980796813	2.038710577341894	0.5	2054
0	0.031938	88.95190144319388	2.0564684137318947	0.5	2054
0	0.032936	89.27052899939066	2.117098416238505	0.5	2054
0	0.033934	89.44768515930573	2.179406959972026	0.5	2054
0	0.034932	90.00321333095367	2.228936445199678	0.5	2054
0	0.03593	90.51746222399537	2.2937085543648315	0.5	2054
0	0.036928	91.04735512491563	2.30043991518861	0.5	2054
0	0.037926	91.66959385525293	2.38639985380682	0.5	2054
0	0.038924	92.17490364913817	2.4439059859566727	0.5	2054
0	0.039922	92.43222818156426	2.4785184321712026	0.5	2054
0	0.04092	93.53097369025828	2.4998843249152327	0.5	2054
0	0.041918	94.05679167597218	2.5224209751314426	0.5	2054
0	0.042916	94.5905534480515	2.580087935842837	0.5	2054
0	0.043914	94.98107307942641	2.655077935762327	0.5	2054
0	0.044912	95.3238523182555	2.7226220550903744	0.5	2054
0	0.04591	95.85728553055611	2.7769853190245333	0.5	2054
0	0.046908	96.07512762839967	2.805884443642878	0.5	2054
0	0.047906	96.29227629896675	2.8534452366228304	0.5	2054
0	0.048904	96.66949992914095	2.9002301708650613	0.5	2054
0	0.049902	96.96863749673511	2.9476319979195136	0.5	2054
0	0.0509	97.30103281842531	2.9714286534768406	0.5	2054
0	0.051898	97.44198986779482	3.008558829135094	0.5	2054
0	0.052896	97.58347661699275	3.0480488696315144	0.5	2054
0	0.053894	97.78263221074687	3.0895667436548675	0.5	2054
0	0.054891999999999996	97.9587085624204	3.1166151187027	0.5	2054
0	0.05589	98.20560752168551	3.194394774662059	0.5	2054
0	0.056888	98.30896594353642	3.212003326055339	0.5	2054
0	0.057886	98.46914450968167	3.2463412514463856	0.5	2054
0	0.058884	98.5288028602173	3.3511589965097155	0.5	2054
0	0.059882	98.73706750102104	3.429604728346816	0.5	2054
0	0.06088	98.87565033418569	3.4730319585362666	0.5	2054
0	0.061878	99.05544443011547	3.5040714128206174	0.5	2054
0	0.062876	99.37565163092444	3.5117053057666276	0.5	2054
0	0.063874	99.52018008786735	3.538233702693162	0.5	2054
0	0.064872	99.7430072438805	3.584078412388712	0.5	2054
0	0.06587	100.14707579472999	3.6409760236822843	0.5	2054
0	0.066868	100.21029656383564	3.6564791610774976	0.5	2054
0	0.067866	100.62850390690686	3.7101534845734	0.5	2054
0	0.068864	100.69525005775434	3.76265713271552	0.5	2054
0	0.069862	100.73613795519064	3.794521435165435	0.5	2054
0	0.07085999999999999	101.11576145219243	3.8165602908497873	0.5	2054
0	0.071858	101.41607096193712	3.8658134307485126	0.5	2054
0	0.072856	101.51268791113391	3.8880808570736285	0.5	2054
0	0.073854	101.63624207710447	3.901540480281959	0.5	2054
0	0.074852	101.9211329650023	3.913769677618517	0.5	2054
0	0.07585	102.05707778907514	3.9253128805852544	0.5	2054
0	0.076848	102.32156491231922	3.9468284499311466	0.5	2054
0	0.077846	102.61196955042398	3.9633456576704793	0.5	2054
0	0.078844	102.6252871133184	3.9962337053456207	0.5	2054
0	0.079842	102.83378388572976	4.035645408535104	0.5	2054
0	0.08084	103.07823479827066	4.077169695042924	0.5	2054
0	0.081838	103.15512819088939	4.142787980828657	0.5	2054
0	0.08283599999999999	103.36477197541109	4.176358360219139	0.5	2054
0	0.08383399999999999	103.61023088833271	4.205124721407048	0.5	2054
0	0.084832	103.8368487381433	4.245034879860838	0.5	2054
0	0.08583	103.95342817752291	4.255050235572227	0.5	2054
0	0.086828	104.06339163082916	4.272139318003624	0.5	2054
0	0.087826	104.26028172057181	4.292559413799458	0.5	2054
0	0.088824	104.39559501099211	4.314147407521245	0.5	2054
0	0.089822	104.56904733186146	4.389854720507165	0.5	2054
0	0.09082	104.73731174359283	4.4380654533182	0.5	2054
0	0.091818	105.24251086944192	4.460656040531782	0.5	2054
0	0.092816	105.35925574107674	4.486991770399576	0.5	2054
0	0.093814	105.64039834890737	4.497984346706862	0.5	2054
0	0.094812	105.95337537245727	4.5274409933430855	0.5	2054
0	0.09580999999999999	106.273775268367	4.562598761388713	0.5	2054
0	0.096808	106.75761969210208	4.594649965634769	0.5	2054
0	0.097806	106.99353670731685	4.627996620368204	0.5	2054
0	0.098804	107.14638065545671	4.674064785842455	0.5	2054
0	0.099802	107.24184478077623	4.76927919148496	0.5	2054
0	0.1008	107.37543984036218	4.829213620612876	0.5	2054
0	0.101798	107.55270714215943	4.845667572344526	0.5	2054
0	0.102796	107.77085225018295	4.863733122867967	0.5	2054
0	0.103794	107.823430626199	4.927301894128115	0.5	2054
0	0.104792	108.02444348997831	5.0577215896316385	0.5	2054
0	0.10579	108.44500463227352	5.124718745803716	0.5	2054
0	0.106788	109.04954334106884	5.158466060975813	0.5	2054
