x,y,radius
90.54003472,0.1865671642,0.5
106.4697609,0.1865671642,0.5
111.1217653,0.4642232559,0.5
176.517003,0.1865671642,0.5
213.1961672,1.030111449,0.5
257.5051772,0.382985415,0.5
334.035924,0.1865671642,0.5
101.6886787,1.305307269,0.5
182.4943242,1.101688431,0.5
216.3569951,1.198354825,0.5
291.8636187,1.387862576,0.5
221.6978849,1.621850687,0.5
247.2435476,1.464627595,0.5
345.7446029,1.268447423,0.5
54.17577909,2.026785221,0.5
226.5074624,1.871964914,0.5
242.6501128,2.108265637,0.5
303.6243022,1.893695902,0.5
11.68691873,2.490528294,0.5
317.5968437,2.192014721,0.5
386.7791629,1.679104478,0.5
79.09208814,2.604278259,0.5
48.65893985,2.955489606,0.5
161.149454,3.477775013,0.5
233.1476229,3.662380384,0.5
56.32159651,3.98290498,0.5
353.2611156,3.637342266,0.5
196.9199707,4.453802084,0.5
35.59395083,5.178751557,0.5
326.0805149,4.806038501,0.5
386.5800771,4.521151065,0.5
24.01258819,5.507197504,0.5
52.14581916,5.753902564,0.5
61.85345251,5.456298514,0.5
20.63528664,6.309390456,0.5
151.9695711,6.333246615,0.5
99.75069297,6.886127792,0.5
329.1652401,7.411889837,0.5
354.1514441,7.545178151,0.5
9.366542986,8.189587456,0.5
75.08874451,8.186075544,0.5
276.0569883,8.23679255,0.5
32.59813586,8.941907899,0.5
64.96483583,8.670961888,0.5
85.347503,9.215845054,0.5
303.8240046,9.059115253,0.5
17.23076563,9.278960544,0.5
152.2455802,9.331437277,0.5
190.7302652,9.303762275,0.5
255.9816703,9.325665182,0.5
122.485324,9.794755878,0.5
318.2173666,9.614390279,0.5
45.34286066,10.34596226,0.5
71.29342611,10.26598043,0.5
115.7334573,10.36385414,0.5
216.5089461,10.16898054,0.5
261.1592214,10.26950396,0.5
213.9099735,10.4855225,0.5
237.5785358,10.43192104,0.5
103.3354515,10.78051212,0.5
18.44597898,11.58516195,0.5
263.2740202,11.18584151,0.5
276.1352722,11.32868268,0.5
59.40741435,11.43209174,0.5
177.2469792,11.88612154,0.5
305.9441222,11.64569183,0.5
377.5735286,11.61231557,0.5
75.39734943,12.04672532,0.5
25.62033923,12.43721548,0.5
173.5302399,12.77408937,0.5
65.40866208,13.42644916,0.5
97.51911436,13.41941456,0.5
128.2377035,13.54133612,0.5
307.8618574,13.50586482,0.5
327.7138132,13.43786291,0.5
394.8265332,13.19996154,0.5
205.8641741,13.90466532,0.5
266.9795289,14.10143635,0.5
198.0023372,14.25574551,0.5
222.7797153,14.36259523,0.5
292.4936803,14.48036775,0.5
180.5036683,14.8345284,0.5
303.7487005,14.77931068,0.5
330.6674815,14.56071242,0.5
367.098032,14.74157669,0.5
94.65742173,14.73880597,0.5
96.20249674,14.73880597,0.5
256.4967278,15.6126832,0.5
295.0290632,15.52669339,0.5
66.88643728,15.81997012,0.5
103.0343545,15.79579165,0.5
141.560634,15.83987679,0.5
46.51461103,16.03331952,0.5
86.26959508,16.24227725,0.5
128.3843809,16.37586409,0.5
241.937845,16.02883678,0.5
360.4144701,15.98502661,0.5
63.77763337,16.72122852,0.5
156.8976747,16.63201615,0.5
307.8177679,16.65050227,0.5
326.5680291,16.39832643,0.5
32.27318873,16.99042841,0.5
174.2497782,16.77069061,0.5
291.1274348,17.00560097,0.5
396.4868352,16.98391383,0.5
79.11820908,17.82391063,0.5
101.1400526,17.52745735,0.5
222.9929443,17.61116555,0.5
152.1185133,17.92386154,0.5
48.06364503,18.3362452,0.5
185.2807297,18.56699018,0.5
331.8181853,18.24653011,0.5
115.8838235,18.77028789,0.5
334.2326185,18.4700362,0.5
227.1830828,19.01079006,0.5
20.47335223,19.3972418,0.5
243.6550899,19.68540066,0.5
341.8978606,19.6277167,0.5
382.4606261,19.25446533,0.5
86.48336764,19.75139129,0.5
112.9838033,19.90273969,0.5
124.9381271,19.55858219,0.5
172.4028746,20.00677544,0.5
189.3404064,19.76139926,0.5
52.2342308,20.2308952,0.5
197.2077895,20.29382164,0.5
208.4770999,20.46291382,0.5
281.9718285,20.46894644,0.5
22.99249477,20.73646203,0.5
39.27280517,20.80579043,0.5
300.1133819,20.73988022,0.5
181.2087278,21.03951393,0.5
279.570373,20.92077563,0.5
333.2320277,21.01372177,0.5
18.58098359,21.21158453,0.5
149.4248202,21.78007697,0.5
235.8701396,21.63257626,0.5
357.3003724,21.97029654,0.5
63.52235722,22.33737713,0.5
203.6466162,22.38709608,0.5
260.7249343,22.53850749,0.5
290.862886,22.59036732,0.5
187.493654,22.82050219,0.5
354.8257521,22.7192753,0.5
364.3885118,22.73243923,0.5
25.85524303,23.17500051,0.5
34.99829028,23.09938247,0.5
86.22357469,23.15035664,0.5
229.4245035,23.162797,0.5
327.7596549,23.1775496,0.5
22.9254571,23.32089552,0.5
125.2216215,23.57549664,0.5
248.0412168,23.88440326,0.5
334.168069,23.86118588,0.5
6.13671078,24.18619095,0.5
15.06154303,24.38403255,0.5
23.34646341,23.69402985,0.5
66.49669877,24.60227002,0.5
80.86435569,24.45640055,0.5
224.0407194,24.56217272,0.5
239.6921206,24.41382798,0.5
287.2311948,24.23525631,0.5
385.9364161,24.25438985,0.5
112.1965089,25.2877635,0.5
51.94406509,25.47014037,0.5
124.9885606,25.65622238,0.5
305.0567824,25.63397517,0.5
199.2001982,25.95479066,0.5
344.355211,25.68893882,0.5
6.697637687,26.65084916,0.5
155.2772219,25.74582027,0.5
167.2818607,26.31821674,0.5
187.6567688,26.1833469,0.5
267.5913302,26.43752606,0.5
275.0996912,26.23749433,0.5
60.9137598,27.15838212,0.5
99.0739011,26.6475919,0.5
302.4946935,26.42837818,0.5
178.975135,27.20470663,0.5
217.7630643,27.58912155,0.5
239.5765572,27.74031627,0.5
262.107113,27.86995363,0.5
278.3308628,27.86796921,0.5
294.5015663,27.71632808,0.5
141.0548137,28.02430601,0.5
300.0021906,28.06539024,0.5
50.04106287,28.41709249,0.5
90.13264046,28.79726558,0.5
174.2131524,29.26556592,0.5
226.4833594,29.01689321,0.5
266.916128,28.94913904,0.5
35.35834727,29.18459471,0.5
244.4491995,29.1108007,0.5
289.8090213,29.67009941,0.5
316.7760306,29.75534559,0.5
41.06145657,29.98887106,0.5
240.7391424,30.17086405,0.5
304.3562761,29.83901628,0.5
348.4672067,29.90216244,0.5
14.46823031,30.21560634,0.5
132.4484451,30.46334532,0.5
198.5576949,30.28787846,0.5
138.3683178,30.61169951,0.5
179.7354742,30.76579557,0.5
29.1937132,31.32325761,0.5
155.9164406,31.38416396,0.5
34.19192675,31.7917614,0.5
158.9174652,31.95509621,0.5
88.21674381,32.07424554,0.5
97.14391773,32.06166574,0.5
77.4192672,33.93771509,0.5
85.63592641,32.42297154,0.5
106.2019273,33.13232953,0.5
126.6931544,33.06309759,0.5
153.2557937,32.64077701,0.5
176.4923759,33.11696216,0.5
299.6748259,32.98078218,0.5
