distribution,condition,quantile,value,unit,n_observations
speed,RUN,0.114,155.55711779150673,micron/s,17669
speed,RUN,0.115,155.79244775134993,micron/s,17669
speed,RUN,0.116,156.0241509132507,micron/s,17669
speed,RUN,0.117,156.31172747128682,micron/s,17669
speed,RUN,0.11800000000000001,156.5155173002596,micron/s,17669
speed,RUN,0.11900000000000001,156.8173130233027,micron/s,17669
speed,RUN,0.12,157.0055137610757,micron/s,17669
speed,RUN,0.121,157.19272204636417,micron/s,17669
speed,RUN,0.122,157.56498833129749,micron/s,17669
speed,RUN,0.123,157.80578245893201,micron/s,17669
speed,RUN,0.124,158.08450685645715,micron/s,17669
speed,RUN,0.125,158.38198548500512,micron/s,17669
speed,RUN,0.126,158.69464232060727,micron/s,17669
speed,RUN,0.127,158.9705696166829,micron/s,17669
speed,RUN,0.128,159.30594388158687,micron/s,17669
speed,RUN,0.129,159.60770173563387,micron/s,17669
speed,RUN,0.13,159.83239556774663,micron/s,17669
speed,RUN,0.131,160.11748641789669,micron/s,17669
speed,RUN,0.132,160.36565830574565,micron/s,17669
speed,RUN,0.133,160.53474089145305,micron/s,17669
speed,RUN,0.134,160.73023757363913,micron/s,17669
speed,RUN,0.135,161.04018616795054,micron/s,17669
speed,RUN,0.136,161.26007045331835,micron/s,17669
speed,RUN,0.137,161.46130353271155,micron/s,17669
speed,RUN,0.138,161.63804499708615,micron/s,17669
speed,RUN,0.139,161.81869800314615,micron/s,17669
speed,RUN,0.14,162.053129345292,micron/s,17669
speed,RUN,0.14100000000000001,162.23678430796224,micron/s,17669
speed,RUN,0.14200000000000002,162.3599463847791,micron/s,17669
speed,RUN,0.14300000000000002,162.60407778997083,micron/s,17669
speed,RUN,0.14400000000000002,162.86230337229816,micron/s,17669
speed,RUN,0.145,163.09323839418985,micron/s,17669
speed,RUN,0.146,163.33881267221227,micron/s,17669
speed,RUN,0.147,163.5848162815131,micron/s,17669
speed,RUN,0.148,163.7374165078545,micron/s,17669
speed,RUN,0.149,163.8864646431681,micron/s,17669
speed,RUN,0.15,164.08798534400256,micron/s,17669
speed,RUN,0.151,164.313754385112,micron/s,17669
speed,RUN,0.152,164.53485904399898,micron/s,17669
speed,RUN,0.153,164.82547145059652,micron/s,17669
speed,RUN,0.154,165.0965063778638,micron/s,17669
speed,RUN,0.155,165.32550425342887,micron/s,17669
speed,RUN,0.156,165.55478961922273,micron/s,17669
speed,RUN,0.157,165.8712301171326,micron/s,17669
speed,RUN,0.158,166.09827494073542,micron/s,17669
speed,RUN,0.159,166.25881872805516,micron/s,17669
speed,RUN,0.16,166.41562166269085,micron/s,17669
speed,RUN,0.161,166.64123682743613,micron/s,17669
speed,RUN,0.162,166.77824546767323,micron/s,17669
speed,RUN,0.163,167.0212845618465,micron/s,17669
speed,RUN,0.164,167.2270149356325,micron/s,17669
speed,RUN,0.165,167.53313720250213,micron/s,17669
speed,RUN,0.166,167.81992046393609,micron/s,17669
speed,RUN,0.167,168.03946721413584,micron/s,17669
speed,RUN,0.168,168.25592373331193,micron/s,17669
speed,RUN,0.169,168.54150446879703,micron/s,17669
speed,RUN,0.17,168.79298044040192,micron/s,17669
speed,RUN,0.171,168.98481445919353,micron/s,17669
speed,RUN,0.17200000000000001,169.1656066137584,micron/s,17669
speed,RUN,0.17300000000000001,169.38298116209342,micron/s,17669
speed,RUN,0.17400000000000002,169.55388969480865,micron/s,17669
speed,RUN,0.17500000000000002,169.78495315144855,micron/s,17669
speed,RUN,0.176,169.96354278771327,micron/s,17669
speed,RUN,0.177,170.1852835769683,micron/s,17669
speed,RUN,0.178,170.43012687972745,micron/s,17669
speed,RUN,0.179,170.71059110433578,micron/s,17669
speed,RUN,0.18,170.90997051645778,micron/s,17669
speed,RUN,0.181,171.08160859244182,micron/s,17669
speed,RUN,0.182,171.28529971318778,micron/s,17669
speed,RUN,0.183,171.43969783060345,micron/s,17669
speed,RUN,0.184,171.60513210252333,micron/s,17669
speed,RUN,0.185,171.7971574841435,micron/s,17669
speed,RUN,0.186,172.0172002774938,micron/s,17669
speed,RUN,0.187,172.26478989228548,micron/s,17669
speed,RUN,0.188,172.48557786669045,micron/s,17669
speed,RUN,0.189,172.71346878292664,micron/s,17669
speed,RUN,0.19,172.87727002753604,micron/s,17669
speed,RUN,0.191,173.13425775915425,micron/s,17669
speed,RUN,0.192,173.37653900419855,micron/s,17669
speed,RUN,0.193,173.5982608537693,micron/s,17669
speed,RUN,0.194,173.9429284649211,micron/s,17669
speed,RUN,0.195,174.10774646486405,micron/s,17669
speed,RUN,0.196,174.2037534943848,micron/s,17669
speed,RUN,0.197,174.437566807738,micron/s,17669
speed,RUN,0.198,174.6919255283402,micron/s,17669
speed,RUN,0.199,174.875915411209,micron/s,17669
speed,RUN,0.2,175.07556798497967,micron/s,17669
speed,RUN,0.201,175.38203853836887,micron/s,17669
speed,RUN,0.202,175.58180513813707,micron/s,17669
speed,RUN,0.203,175.76697322958776,micron/s,17669
speed,RUN,0.20400000000000001,175.97191351048843,micron/s,17669
speed,RUN,0.20500000000000002,176.161277667457,micron/s,17669
speed,RUN,0.20600000000000002,176.35229144539431,micron/s,17669
speed,RUN,0.20700000000000002,176.55648737606248,micron/s,17669
speed,RUN,0.20800000000000002,176.78183111303053,micron/s,17669
speed,RUN,0.209,176.97541572494862,micron/s,17669
speed,RUN,0.21,177.14879121995938,micron/s,17669
speed,RUN,0.211,177.3594733414718,micron/s,17669
speed,RUN,0.212,177.5626122118068,micron/s,17669
speed,RUN,0.213,177.78179108246408,micron/s,17669
speed,RUN,0.214,178.03363843985446,micron/s,17669
speed,RUN,0.215,178.21949535423445,micron/s,17669
speed,RUN,0.216,178.42367610778746,micron/s,17669
speed,RUN,0.217,178.61216854423597,micron/s,17669
speed,RUN,0.218,178.81652431926145,micron/s,17669
speed,RUN,0.219,179.0153296371439,micron/s,17669
speed,RUN,0.22,179.13937126494116,micron/s,17669
speed,RUN,0.221,179.2820432080104,micron/s,17669
speed,RUN,0.222,179.43601613615678,micron/s,17669
speed,RUN,0.223,179.63314937778546,micron/s,17669
speed,RUN,0.224,179.75349645447662,micron/s,17669
speed,RUN,0.225,179.97761971200643,micron/s,17669
speed,RUN,0.226,180.16692676867117,micron/s,17669
speed,RUN,0.227,180.31116670001236,micron/s,17669
speed,RUN,0.228,180.50710144322125,micron/s,17669
speed,RUN,0.229,180.7342679187663,micron/s,17669
speed,RUN,0.23,180.94902339589626,micron/s,17669
speed,RUN,0.231,181.13109804420043,micron/s,17669
speed,RUN,0.232,181.2938221309725,micron/s,17669
speed,RUN,0.233,181.44802692777205,micron/s,17669
speed,RUN,0.234,181.63996428858857,micron/s,17669
speed,RUN,0.23500000000000001,181.79310035768287,micron/s,17669
speed,RUN,0.23600000000000002,181.9653809219829,micron/s,17669
speed,RUN,0.23700000000000002,182.19060389054138,micron/s,17669
speed,RUN,0.23800000000000002,182.32409744989747,micron/s,17669
speed,RUN,0.23900000000000002,182.53393943576438,micron/s,17669
